product_id,product_name,category,price
2001,Wireless Mouse,Electronics,799.0
2002,Bluetooth Headphones,Electronics,1499.0
2003,Cotton T-Shirt,Clothing,599.0
2004,Running Shoes,Footwear,2199.0
2005,Smart Watch,Electronics,2999.0
2006,Backpack,Accessories,999.0
2007,Coffee Maker,Home & Kitchen,2499.0
2008,Face Wash,Beauty,349.0
2009,Laptop Stand,Accessories,1299.0
2010,Bedsheet Set,Home & Kitchen,1599.0
2011,Denim Jeans,Clothing,1799.0
2012,Casual Sneakers,Footwear,1899.0
2013,USB-C Cable,Electronics,499.0
2014,Power Bank,Electronics,1299.0
2015,Desk Lamp,Home & Kitchen,899.0
2016,Sunglasses,Accessories,799.0
2017,Moisturizer,Beauty,649.0
2018,Lip Balm,Beauty,199.0
2019,Water Bottle,Accessories,699.0
2020,Yoga Mat,Sports,999.0
2021,Formal Shirt,Clothing,1299.0
2022,Wallet,Accessories,899.0
2023,Hair Dryer,Beauty,1599.0
2024,Electric Kettle,Home & Kitchen,1399.0
2025,Gaming Keyboard,Electronics,2499.0
2026,Notebook Set,Stationery,299.0
2027,Ball Pen Pack,Stationery,149.0
2028,Office Chair Cushion,Home & Kitchen,1099.0
2029,Sports T-Shirt,Sports,799.0
2030,Fitness Band,Sports,1999.0
